Time,Entry Location,Entry,Enabled,Category,Profile,Description,Signer,Company,Image Path,Version,Launch String,MD5,SHA-1,PESHA-1,PESHA-256,SHA-256,IMP
7/29/2018 10:13 PM,"HKLM\System\CurrentControlSet\Services","AppReadiness",enabled,"Services",System-wide,"App Readiness: Gets apps ready for use the first time a user signs in to this PC and when adding new apps.","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\appreadiness.dll",10.0.19041.3636,"%SystemRoot%\System32\svchost.exe -k AppReadiness -p",232AF48198A617AF0D9B145ACE8A94C7,3AB1654D7FE0F571306402F6F165010DD4F897E9,1C95FC024D16890DE322A463F05A62C4AD10568D,85DAAC49A6C17048DB0CA15D6282E182A13304E7A4ADADF2E56B9F0CF0E4E67E,E3D947ABB288784D9CE8A15E1F34D0624471B00B1F2931DDACFD366EE8284B74,435D8C49341FCCF73D3F975F13456B46
8/1/1954 2:17 AM,"HKLM\System\CurrentControlSet\Services","AppXSvc",enabled,"Services",System-wide,"AppX Deployment Service (AppXSVC): Provides infrastructure support for deploying Store applications. This service is started on demand and if disabled Store applications will not be deployed to the system, and may not function properly.","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\appxdeploymentserver.dll",10.0.19041.3803,"%systemroot%\system32\svchost.exe -k wsappx -p",5F6D81C3912A99A429C45DD0EF45B9AA,A04C6F824D0E78F070724E102210BE05BF9BA3F1,A307D80F068ACE90A5B98F1EE76CC3DB890C5D85,8F49BA4FCF0CC8D5406B87368760D5D8EB63E2368271C3A2A833338CBD58DEF0,6F02FF703EBEE246C21D306AD72710406029B544E38271916165ABF0B7CE4532,5FBDBE306ED95DEBEF3098B89F0AAC56
7/8/1953 1:56 AM,"HKLM\System\CurrentControlSet\Services","AssignedAccessManagerSvc",enabled,"Services",System-wide,"AssignedAccessManager Service: AssignedAccessManager Service supports kiosk experience in Windows.","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\assignedaccessmanagersvc.dll",10.0.19041.3636,"%SystemRoot%\system32\svchost.exe -k AssignedAccessManagerSvc",9CDA8101A87D44411BFA0B84C1AC1EA1,5F38B51F33600983D8E731F47CB5EED4F62764F7,6CB90FF15458F8A9204E98F696ADC51E8D0D3654,9CAC249D40DCD2BF57761EAA16382EA84520EDD5EF4673599DB4780B9EA5B0A2,2AFDA5E00917906DA9D865770E4FC39A516226D4D5EC1DFC281F69E8D0D023F3,D52DB01BA4237AEF2925EDFA05558686
2/6/1933 7:32 AM,"HKLM\System\CurrentControlSet\Services","AudioEndpointBuilder",enabled,"Services",System-wide,"Windows Audio Endpoint Builder: Manages audio devices for the Windows Audio service.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\audioendpointbuilder.dll",10.0.19041.3636,"%SystemRoot%\System32\svchost.exe -k LocalSystemNetworkRestricted -p",55D49FE8D8856E8D2250647920B0319B,5E1DE8FFFA1A565C05EE9915567582C79D1830EB,C291F1BA2553133006BAC373005AAFFEDED7E0AE,396F0DE9BFD7365E1C0433AEE75B580C8FD6613CD4FE6533B2BCAE7EE0AF0EC0,2E2437924705648CBD61ECF66296E71FE4C8A85495E4C06B48116142C3F896C9,BC015F653DCC77914224DD590D747504
12/12/2026 6:34 AM,"HKLM\System\CurrentControlSet\Services","Audiosrv",enabled,"Services",System-wide,"Windows Audio: Manages audio for Windows-based programs.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\audiosrv.dll",10.0.19041.3636,"%SystemRoot%\System32\svchost.exe -k LocalServiceNetworkRestricted -p",329DE409239857E21D27A74A83C5A6F8,1EA3CBA2E1D76309FE4478E3C6023B6E89C45382,4EF832D32689D15ED75A06414EA2A1495077A578,E1F7F1BEFE6405EF8545CFE1C6ABA5FA3FF561EF4DE810E61E6380AD3C0EFBEA,8743E6262090971AC15B3F2EFEDE7B7E4315705CAA4EC8E6A7431AF98078F908,9904B1824AE04F86E0D0405FE876EE02
10/24/1975 5:52 AM,"HKLM\System\CurrentControlSet\Services","autotimesvc",enabled,"Services",System-wide,"Cellular Time: This service sets time based on NITZ messages from a Mobile Network","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\autotimesvc.dll",10.0.19041.3636,"%SystemRoot%\system32\svchost.exe -k autoTimeSvc",9D34D8D89D8232302227FC200585756A,9D3626C7BC2DA3DE80ABAD60247EF8D7508038C0,692205C24B7CE1AE7C7259AA7A89C0203386AC64,A19AC9DDC0A8DB62D703D096DE8A36FC2F800E00FD05C1EDF1CEE15E51B63D92,98F06B28C5C3C4FAF2EE8755698192D42D3B27ED274721F3AAB844771121B1EE,30E077D4F16CAF3036E1069D72039011
8/23/1986 10:54 PM,"HKLM\System\CurrentControlSet\Services","AxInstSV",enabled,"Services",System-wide,"ActiveX Installer (AxInstSV): Provides User Account Control validation for the installation of ActiveX controls from the Internet and enables management of ActiveX control installation based on Group Policy settings. This service is started on demand and if disabled the installation of ActiveX controls will behave according to default browser settings.","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\axinstsv.dll",10.0.19041.3636,"%SystemRoot%\system32\svchost.exe -k AxInstSVGroup",BC04D334D914FFA6BBD930D7C7F671A5,7556480E5492ECDE2F056B77F5F00F8F9A5A810F,2D1BE68243D5D8670627E5EF13E96FDE75FF279E,39A2EBB7D5E919392F7F25FC0862A30BF71DA696C035A763EF7BB85BE4246E15,CA01C09AA8A1C852A15CD0FB1364B71078A9A8F2B8CF65EB7BF31DDA7F97D81E,D9BB1A37C6586F4887296517DBFDBE3D
11/11/1936 10:40 PM,"HKLM\System\CurrentControlSet\Services","BcastDVRUserService",enabled,"Services",System-wide,"GameDVR and Broadcast User Service: This user service is used for Game Recordings and Live Broadcasts","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\bcastdvruserservice.dll",10.0.19041.3636,"%SystemRoot%\system32\svchost.exe -k BcastDVRUserService",5910221D73B501B2982FACD88F09D05A,F35A6B6D0CB144AAF91A374846CDE008E83C5459,09442DF44D0E2A118BFBB1033980C17AFE27E7C5,1600F0BF62E3A698477A695D90AB95CF0732FAD87B4F04AFA9D66D3995623C31,B86D19C203DF614F2B252EBECEB74CCBA0EF5FA9AFDFF1FF4A92B8D23E8FB51B,E6A93A69E75E79CCF650EA0F22529622
8/31/1979 4:20 PM,"HKLM\System\CurrentControlSet\Services","BcastDVRUserService_4ddc4",enabled,"Services",System-wide,"GameDVR and Broadcast User Service_4ddc4: This user service is used for Game Recordings and Live Broadcasts","(Verified) Microsoft Windows Publisher","Microsoft Corporation","c:\windows\system32\svchost.exe",10.0.19041.3636,"C:\Windows\system32\svchost.exe -k BcastDVRUserService",145DCF6706EEEA5B066885EE17964C09,445F5F38365AF88EC29B357F4696F0E3EE50A1D8,62C3EE3A4FD8DE225271111639EE602CD14B25BD,40EA10CDF850D3684F6FB062EBC10D63E702AE93107C7F25B40063293C32FC17,F13DE58416730D210DAB465B242E9C949FB0A0245EEF45B07C381F0C6C8A43C3,247B9220E5D9B720A82B2C8B5069AD69
3/8/1996 12:23 AM,"HKLM\System\CurrentControlSet\Services","BDESVC",enabled,"Services",System-wide,"BitLocker Drive Encryption Service: BDESVC hosts the BitLocker Drive Encryption service. BitLocker Drive Encryption provides secure startup for the operating system, as well as full volume encryption for OS, fixed or removable volumes. This service allows BitLocker to prompt users for various actions related to their volumes when mounted, and unlocks volumes automatically without user interaction. Additionally, it stores recovery information to Active Directory, if available, and, if necessary, ensures the most recent recovery certificates are used.  Stopping or disabling the service would prevent users from leveraging this functionality.","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\bdesvc.dll",10.0.19041.3636,"%SystemRoot%\System32\svchost.exe -k netsvcs -p",2A9344CA7F365A94CCDAABA615BE4CA4,9AD437B890AFD16BC1D8EB622D202BF04780FAA2,24E4488C875E0DF2BF245A6CEA0632C12DB5459B,00BE7E1CBF1748D2E6A92181A4B5DBC9C52122A8A16B9C4E701E57E01749DC11,9EB30325BF0E27B087E5D88A8FFB964AC07075C0EB1EC849A20A7AFE2CE31020,462BCE93F7C2AD9CDFAF654A075C5256
2/10/1927 3:09 PM,"HKLM\System\CurrentControlSet\Services","BFE",enabled,"Services",System-wide,"Base Filtering Engine: The Base Filtering Engine (BFE) is a service that manages firewall and Internet Protocol security (IPsec) policies and implements user mode filtering. Stopping or disabling the BFE service will significantly reduce the security of the system. It will also result in unpredictable behavior in IPsec management and firewall applications.","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\bfe.dll",10.0.19041.3758,"%systemroot%\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p",1FA3FB92989445575D167EE8AE2B1235,38F3FC87B97C513EB9D951CB7DAC565BF3C88CCA,4EAEC49756C3823B4E204D3C10D94AF7751AA97D,740B1D87E44FA0E2A0AC49BC9F9D768FF1182CF2C09604AA62F4CB36323D037B,D51B83964DD6B1B1A64A142F2AC685587CB9585A015FD6B5CC9EF20CCD59A25A,7563123971D6BD1FD037EE5F5A78720F
4/9/2000 7:09 AM,"HKLM\System\CurrentControlSet\Services","BITS",enabled,"Services",System-wide,"Background Intelligent Transfer Service: Transfers files in the background using idle network bandwidth. If the service is disabled, then any applications that depend on BITS, such as Windows Update or MSN Explorer, will be unable to automatically download programs and other information.","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\qmgr.dll",7.8.19041.3636,"%SystemRoot%\System32\svchost.exe -k netsvcs -p",BBC78957D4F2DC18CCF4AD3F0CAFE0FF,B7664624477305BB0C21308E04ACB66CA527A1C6,29C46853E64937F8084A00761EB77D913429205E,5879833B6C618F36776BD271442BAF86775E448C273EF6AF28B6F23E8E3398DF,033132A9622AE1408E92D1910CA461CA5E3C63C47E64215FC6002276C97DADA8,756073D78A1AB2FE2C15D5EB6C47A25D
6/23/2031 6:30 AM,"HKLM\System\CurrentControlSet\Services","BluetoothUserService",enabled,"Services",System-wide,"Bluetooth User Support Service: The Bluetooth user service supports proper functionality of Bluetooth features relevant to each user session.","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\microsoft.bluetooth.userservice.dll",10.0.19041.3636,"%SystemRoot%\system32\svchost.exe -k BthAppGroup -p",5A5D8731D0C9DC262D8E520E92487318,E51C68871176D994695FF18915F49510B56C04EE,0C9E897398EE5BA65D8259E0B5EBFDE13ACBD882,C8CB23D4ACDFD57F9BB54BB8EB76C9A7649464012E3FC9A02BA413D0DC1324FE,66A98A3FB88AD7AA05AFADF1C66A077777424F63C927392BA4881F6C302C2632,0CEB486C0D3ABE10666555DDC9F8308A
8/31/1979 4:20 PM,"HKLM\System\CurrentControlSet\Services","BluetoothUserService_4ddc4",enabled,"Services",System-wide,"Bluetooth User Support Service_4ddc4: The Bluetooth user service supports proper functionality of Bluetooth features relevant to each user session.","(Verified) Microsoft Windows Publisher","Microsoft Corporation","c:\windows\system32\svchost.exe",10.0.19041.3636,"C:\Windows\system32\svchost.exe -k BthAppGroup -p",145DCF6706EEEA5B066885EE17964C09,445F5F38365AF88EC29B357F4696F0E3EE50A1D8,62C3EE3A4FD8DE225271111639EE602CD14B25BD,40EA10CDF850D3684F6FB062EBC10D63E702AE93107C7F25B40063293C32FC17,F13DE58416730D210DAB465B242E9C949FB0A0245EEF45B07C381F0C6C8A43C3,247B9220E5D9B720A82B2C8B5069AD69
5/8/2009 4:28 AM,"HKLM\System\CurrentControlSet\Services","BrokerInfrastructure",enabled,"Services",System-wide,"Background Tasks Infrastructure Service: Windows infrastructure service that controls which background tasks can run on the system.","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\psmsrv.dll",10.0.19041.3636,"%SystemRoot%\system32\svchost.exe -k DcomLaunch -p",22BBF2E81CE4313F1F573280FC8E7D40,1F4A836287FCB2559759652361B9902BF81F4056,2FBBA234A07CA56A7A71EC0148C2539455CD47F8,F40C1945D5735F6B19DE33EB124439BD837EC8897DF060FE7AB7BD896461B5CE,9F20BE3DE878D072E4E090AC9E06DF7A216D21D7847474150B160E722C6665A3,D25CC7EB439F5EF1A636A386C6CE6CE9
11/27/1926 7:16 PM,"HKLM\System\CurrentControlSet\Services","BTAGService",enabled,"Services",System-wide,"Bluetooth Audio Gateway Service: Service supporting the audio gateway role of the Bluetooth Handsfree Profile.","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\btagservice.dll",10.0.19041.3636,"%SystemRoot%\system32\svchost.exe -k LocalServiceNetworkRestricted",CD9D4D42368DC08A8E0E9BF008565D99,D88D6FEB54407154263B6B67F5DF2FC0B403291B,710A7AF9538EBF8562B6049D8AA8BF6215098D01,D226D123D82EC8D33631EF1BC3414E1F3C378AE99BA4135F0166C54ACF721CF7,DC4E38C17AEF81775B4BB64A98991141C861269BF478797765AEE2AC7CA43794,998BFFD117A588DE417CF4D2B6F52627
11/24/2015 10:09 PM,"HKLM\System\CurrentControlSet\Services","BthAvctpSvc",enabled,"Services",System-wide,"AVCTP service: This is Audio Video Control Transport Protocol service","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\bthavctpsvc.dll",10.0.19041.3636,"%SystemRoot%\system32\svchost.exe -k LocalService -p",E39D74F1DEAF82D3C56A785BA53BA36B,3582BC6815A7187A4914A5F68D9CCEA6713A290D,72C7C531FCE0894C7FA7325A9CBCB7972BA80205,6588A794F8B289E702F194216F0BFA266E6A241E5B30871414B3CD7AB0FC914E,F444B44CDC5768E31F9A250E8E2F05DEEE03FD03E24277AEA816ED184AEFF6FA,35DE41BB80A62BB405ADDE5C09A274D6
3/30/2006 11:16 PM,"HKLM\System\CurrentControlSet\Services","bthserv",enabled,"Services",System-wide,"Bluetooth Support Service: The Bluetooth service supports discovery and association of remote Bluetooth devices.  Stopping or disabling this service may cause already installed Bluetooth devices to fail to operate properly and prevent new devices from being discovered or associated.","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\bthserv.dll",10.0.19041.1,"%SystemRoot%\system32\svchost.exe -k LocalService -p",D293AC628357F2F75B8579087F732970,5A20F0ED16CC8B85C7868F141818059020912B49,24459E724D680FAD5D63BEE11E94A18D38AF3DC5,B0A5D0562A84A3A53CB7A78C9F8CA68FDFC38237BEA641BBC7972F43AF18BD00,1E536D8863D695944214D55E9B0B4BFE04F705DB7ECA18A0CF8B37AAF4893B1E,EC8AC0DB1503817218D25D44C32F5746
11/29/1917 12:48 PM,"HKLM\System\CurrentControlSet\Services","camsvc",enabled,"Services",System-wide,"Capability Access Manager Service: Provides facilities for managing UWP apps access to app capabilities as well as checking an app's access to specific app capabilities","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\capabilityaccessmanager.dll",10.0.19041.3636,"%SystemRoot%\system32\svchost.exe -k appmodel -p",4C0BB3299E9B47BD3584F8DB30C9BCE9,843DFFF876FEC1698841678A670E38DBD1581DF3,4306E88BCE45EFFE0BD138EF587C9DAB1ADCC1A7,67BD7EB849424595423BA4F099A29A12112FF1E4645A5B65AC3B7248B2210B23,1E12A544E294D7AF91409E0478A02D9B34AD4CA6E013FC1CB20D056398BA0DD3,AD5E96ED304D526C4C4ABAA4BFEA737D
9/9/1951 5:45 AM,"HKLM\System\CurrentControlSet\Services","CaptureService",enabled,"Services",System-wide,"CaptureService: Enables optional screen capture functionality for applications that call the Windows.Graphics.Capture API.","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\captureservice.dll",10.0.19041.3636,"%SystemRoot%\system32\svchost.exe -k LocalService -p",2A8C40E358021EEA6B26661D555B94A6,E181B3525D9E51AD2F7CDC1F35676AB6C761B912,183D0CE1CFD05BF9124AADE5CD1DB85BA288C743,78C8BA13F07D9D59A0F82635294D64D4C2B233D13E783B44333B78ECAED70A3B,04CC4ED9E2BD81176DFA952B21AEA26E2B85E52F9CE9766E4F90E8A608C91145,602844247931D42E1FD8895D53BC7A53
8/31/1979 4:20 PM,"HKLM\System\CurrentControlSet\Services","CaptureService_4ddc4",enabled,"Services",System-wide,"CaptureService_4ddc4: Enables optional screen capture functionality for applications that call the Windows.Graphics.Capture API.","(Verified) Microsoft Windows Publisher","Microsoft Corporation","c:\windows\system32\svchost.exe",10.0.19041.3636,"C:\Windows\system32\svchost.exe -k LocalService -p",145DCF6706EEEA5B066885EE17964C09,445F5F38365AF88EC29B357F4696F0E3EE50A1D8,62C3EE3A4FD8DE225271111639EE602CD14B25BD,40EA10CDF850D3684F6FB062EBC10D63E702AE93107C7F25B40063293C32FC17,F13DE58416730D210DAB465B242E9C949FB0A0245EEF45B07C381F0C6C8A43C3,247B9220E5D9B720A82B2C8B5069AD69
8/7/1936 12:15 PM,"HKLM\System\CurrentControlSet\Services","cbdhsvc",enabled,"Services",System-wide,"Clipboard User Service: This user service is used for Clipboard scenarios","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\cbdhsvc.dll",10.0.19041.3636,"%SystemRoot%\system32\svchost.exe -k ClipboardSvcGroup -p",49A2C7E384DCC80EB4F4C14DEAE36685,930ADD950BE8C64E6558FE6BD2AED5FD2497F642,1330EF8AAD0567BAC8AFE0A5F94069D74374DC99,9AC505E03228F53192F38E353EB17D3EECDB256CBE331EEBADA863472C8A63CF,B8C85305AFD6741FE6D6E04BF7372D9F53C1D5D597A0D983FBE9E37D3C035149,AA93AC23747C08E991F7F20073611669
8/31/1979 4:20 PM,"HKLM\System\CurrentControlSet\Services","cbdhsvc_4ddc4",enabled,"Services",System-wide,"Clipboard User Service_4ddc4: This user service is used for Clipboard scenarios","(Verified) Microsoft Windows Publisher","Microsoft Corporation","c:\windows\system32\svchost.exe",10.0.19041.3636,"C:\Windows\system32\svchost.exe -k ClipboardSvcGroup -p",145DCF6706EEEA5B066885EE17964C09,445F5F38365AF88EC29B357F4696F0E3EE50A1D8,62C3EE3A4FD8DE225271111639EE602CD14B25BD,40EA10CDF850D3684F6FB062EBC10D63E702AE93107C7F25B40063293C32FC17,F13DE58416730D210DAB465B242E9C949FB0A0245EEF45B07C381F0C6C8A43C3,247B9220E5D9B720A82B2C8B5069AD69
8/6/1967 11:41 AM,"HKLM\System\CurrentControlSet\Services","CDPSvc",enabled,"Services",System-wide,"Connected Devices Platform Service: This service is used for Connected Devices Platform scenarios","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\cdpsvc.dll",10.0.19041.3636,"%SystemRoot%\system32\svchost.exe -k LocalService -p",4A16E238FF28EB0A6AD425E2A0A9B738,A19F171A6BD03BEE411117A34FA475D52BED5C14,648A8661BE2F0DF8BC4C940FDF38F1067F11B3EC,0C0078F40F818FB7FA3D082906D7422C54D9743988718EC79758585A0E9CFD02,A0F21444468F83F633406E57D534343F766D6426F3C3388753BEA5DE7B31D5A3,EAE1D58CA72591E52D16D2E508A090AF
1/12/2025 4:26 AM,"HKLM\System\CurrentControlSet\Services","CDPUserSvc",enabled,"Services",System-wide,"Connected Devices Platform User Service: This user service is used for Connected Devices Platform scenarios","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\cdpusersvc.dll",10.0.19041.3636,"%SystemRoot%\system32\svchost.exe -k UnistackSvcGroup",B9120041DE2610FA440A445E540A948B,79BA3EECD4FA366AD3EF1CF26FE9C8F91D20719C,61CC919608D27B718C17CF49ABFEDFDBFC9E3571,A3EEA018CE92707B11A13B55295547BD39885BA885E00DB0AEAD24FC7BBE56FE,3CB9E0CED1CA5D52A0DF5F48F8A4E16A2DBBB4E5FC10C8FD286A6DD23EB179A5,A8D785B9255C591574463F3DC14BC570
8/31/1979 4:20 PM,"HKLM\System\CurrentControlSet\Services","CDPUserSvc_4ddc4",enabled,"Services",System-wide,"Connected Devices Platform User Service_4ddc4: This user service is used for Connected Devices Platform scenarios","(Verified) Microsoft Windows Publisher","Microsoft Corporation","c:\windows\system32\svchost.exe",10.0.19041.3636,"C:\Windows\system32\svchost.exe -k UnistackSvcGroup",145DCF6706EEEA5B066885EE17964C09,445F5F38365AF88EC29B357F4696F0E3EE50A1D8,62C3EE3A4FD8DE225271111639EE602CD14B25BD,40EA10CDF850D3684F6FB062EBC10D63E702AE93107C7F25B40063293C32FC17,F13DE58416730D210DAB465B242E9C949FB0A0245EEF45B07C381F0C6C8A43C3,247B9220E5D9B720A82B2C8B5069AD69
11/2/1990 9:44 AM,"HKLM\System\CurrentControlSet\Services","CertPropSvc",enabled,"Services",System-wide,"Certificate Propagation: Copies user certificates and root certificates from smart cards into the current user's certificate store, detects when a smart card is inserted into a smart card reader, and, if needed, installs the smart card Plug and Play minidriver.","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\certprop.dll",10.0.19041.3636,"%SystemRoot%\system32\svchost.exe -k netsvcs",1929546C2F4CB6D5760ADDEE8BA4A2F4,17326CEF53D6D39D03E248366A04B2DDB7C54DFF,16D70DCC757D7B4959D1DFF10599B205CAE7375D,4EE690563EEEFB64A315CEEFA00A49320F03AC5DFD18212E93F8EE0831A216FE,53CD1D7E570C9BFD37F97B0A6F8C921100490B04AAA34B13801609CBE0C5BFFB,24D54C5CDD512E0E8297F8B24F8852F1
